archivo,cultivo,estado,tecnologia,modalidad,ciclo,costo_por_ha,rendimiento,precio,utilidad,prep_terreno,siembra,fertilizacion,labores,riegos,plagas,cosecha,diversos,utilidad_calc,prep_terreno_pct,siembra_pct,fertilizacion_pct,labores_pct,riegos_pct,plagas_pct,cosecha_pct,diversos_pct,roi,cultivo_mapeado
Ajo_BMF_Zacatecas_OI_2025_2026.pdf,AJO,ZACATECAS,BMF,RIEGO POR GOTEO ESTATUS: AUTORIZADO,OI 2025/2026,25000,15.0,30000.0,175785.0,20031.0,78700.0,21985.0,14520.0,12970.0,19414,75859.0,12446,425000.0,0.80124,3.148,0.8794,0.5808,0.5188,0.77656,3.03436,0.49784,7.0314,AJO
Alfalfa_Est_Mtto_GMF_Chihuahua_PN_2026.pdf,ALFALFA,CHIHUAHUA,GMF,TRADICIONAL ESTATUS: AUTORIZADO,PN - 2026,3000,19.6,4500.0,28665.0,5541.0,10736.0,9893.0,0.0,14950.0,5008,5250.0,995,85200.0,1.847,3.578666666666667,3.2976666666666667,0.0,4.983333333333333,1.6693333333333333,1.75,0.33166666666666667,9.555,ALFALFA VERDE
Alfalfa_Mtto_BMF_Chihuahua_Centro Sur_PN_2026.pdf,ALFALFA,CHIHUAHUA,BMF,TRADICIONAL ESTATUS: AUTORIZADO,PN - 2026,3500,19.0,4500.0,32056.0,0.0,0.0,16439.0,0.0,15801.0,7861,7600.0,1100,82000.0,0.0,0.0,4.696857142857143,0.0,4.514571428571428,2.246,2.1714285714285713,0.3142857142857143,9.158857142857142,ALFALFA VERDE
Alfalfa_Mtto_BMF_Chihuahua_PN_2026.pdf,ALFALFA,CHIHUAHUA,BMF,RIEGO POR ASPERSIÓN ESTATUS: AUTORIZADO,PN - 2026,3500,20.6,4200.0,2441.0,0.0,0.0,13775.0,0.0,22447.0,3030,35000.0,770,83020.0,0.0,0.0,3.9357142857142855,0.0,6.413428571428572,0.8657142857142858,10.0,0.22,0.6974285714285714,ALFALFA VERDE
Algodón_BMF_Chihuahua_PV_2026.pdf,ALGODON,CHIHUAHUA,BMF,RIEGO POR ASPERSIÓN ESTATUS: AUTORIZADO,PV - 2026,27513,2.1,30188.0,4465.0,2934.0,7578.0,11219.0,4286.0,12187.0,8896,5028.0,1992,35881.8,0.10664049721949624,0.2754334314687602,0.4077708719514411,0.15578090357285646,0.44295423981390614,0.32333805837240576,0.1827499727401592,0.07240213717151892,0.16228691891106023,ALGODÓN HUESO
Algodón_GMF_Baja California_PV_2026.pdf,ALGODON,BAJA CALIFORNIA,GMF,TRADICIONAL ESTATUS: AUTORIZADO,PV - 2026,28588,1.75,30137.0,2423.0,5610.0,5009.0,11087.0,5537.0,4019.0,3995,8242.0,1966,24151.75,0.19623618301385196,0.17521337624177977,0.38782006436266964,0.19368266405484819,0.14058346159227647,0.13974394850986427,0.2883027843850567,0.06877011333426612,0.08475584161186511,ALGODÓN HUESO
Arroz_GMF_Morelos_PV_2026.pdf,ARROZ,MORELOS,GMF,TRADICIONAL ESTATUS: AUTORIZADO,PV - 2026,8800,10.0,9080.0,14366.0,12800.0,8950.0,9749.0,1500.0,6650.0,12357,13200.0,3123,82000.0,1.4545454545454546,1.0170454545454546,1.1078409090909092,0.17045454545454544,0.7556818181818182,1.4042045454545455,1.5,0.3548863636363636,1.6325,ARROZ PALAY
Arroz_GMF_Nayarit_OI_2025_2026.pdf,ARROZ,NAYARIT,GMF,TRADICIONAL ESTATUS: AUTORIZADO,OI 2025/2026,5650,10.0,5900.0,6778.0,6700.0,3150.0,10260.0,800.0,2700.0,6423,3500.0,14680,53350.0,1.1858407079646018,0.5575221238938053,1.815929203539823,0.1415929203539823,0.4778761061946903,1.1368141592920353,0.6194690265486725,2.5982300884955754,1.199646017699115,ARROZ PALAY
Brócoli_BMF_Guanajuato_OI_2025_2026.pdf,BROCOLI,GUANAJUATO,BMF,RIEGO POR GOTEO ESTATUS: AUTORIZADO,OI 2025/2026,8000,16.0,9500.0,23633.0,7400.0,23800.0,13470.0,4200.0,23120.0,9680,15680.0,23674,144000.0,0.925,2.975,1.68375,0.525,2.89,1.21,1.96,2.95925,2.954125,BRÓCOLI
Cacahuate_BMF_Chihuahua_PV_2026.pdf,CACAHUATE,CHIHUAHUA,BMF,RIEGO POR ASPERSIÓN ESTATUS: AUTORIZADO,PV - 2026,11100,3.8,13875.0,6838.0,3336.0,5662.0,6330.0,1449.0,12329.0,5052,4950.0,2062,41625.0,0.3005405405405405,0.5100900900900901,0.5702702702702702,0.13054054054054054,1.1107207207207208,0.45513513513513515,0.44594594594594594,0.18576576576576576,0.6160360360360361,CACAHUATE
