nomcultivo,precio
nardo,0.0
jenjibre,14841.96
maguey mixiotero,0.0
girasol forrajero,720.0
cebada forrajera achicalada,792.0
palo de arco,8945.99
palma de ornato,0.0
semilla de brócoli,30450.0
chay,11568.9
alpiste verde,704.55
sorgo forrajero seco,938.4
mijo,704.0
sorgo forrajero achicalado,943.03
semilla de girasol,11340.0
semilla de cacahuate,14556.94
semilla de flores,7665.0
remolacha azucarera,3675.0
rapini,14437.5
semilla de apio,40950.0
semilla de cilantro,23100.0
semilla de pastos y praderas,61364.47
alpiste,12570.8
caña de azúcar forrajera,602.7
avena forrajera achicalada,951.97
quelite,4462.5
mijo forrajero verde,682.0
alfalfa achicalada,2798.7
chile seco,54891.7
caña de azúcar piloncillo,847.07
caña de azúcar fruta,1907.1
alfalfa verde,1261.07
linaza,8430.0
zapupe,1781.31
semilla de soya,22673.25
níspero,2684.22
pipicha,3420.0
persimonio,20000.0
caimito,4202.74
estropajo,71929.6
alpiste grano,11655.0
zapote chiclero,102500.0
maguey,6000.0
coquia,2690.0
palma taco,4315.0
semilla de zacate,50000.0
canola forrajera,1150.0
bangaña,5300.0
moringa,4859.04
semilla de haba,44925.23
semilla de garbanzo grano,19774.82
semilla de garbanzo porquero,16455.0
higuerilla,8500.0
cereza,70000.0
pápalo,3000.0
té limón,3175.72
polar,4800.0
bambú,2684.3
flor perrito,2600.0
albricia,2739.39
boi choi,4900.0
maíz palomero,2501.25
chirimoya,7800.0
limón real,8062.86
kohlrabi,6620.0
mangostán,69657.1
frijol forrajero,1075.25
tangelo,3800.0
cártamo forrajero en verde,1220.0
hierbabuena,5505.18
dátil,61900.0
clyptoria,1000.0
eneldo,18808.23
saramuyo,9047.09
flores,24000.0
perejil,4100.0
huauzontle,3400.0
mejorana,8025.0
pistache,110000.0
nabo forrajero,1450.0
centeno grano,3850.0
especias y medicinales,5600.0
jengibre,14462.78
colza,5300.0
yuca alimenticia,4817.6
romerito,8059.3
verdolaga,8248.71
"hongos, setas y champiñones",19772.75
shop suey,16000.0
yu-choy,7228.67
shangai-bock-choy,6118.75
kale,4200.0
noni,6650.81
okra (angú o gombo),8121.44
gai lan (kay laan),14273.62
carambolo,7754.77
baby back choi,14269.6
jatropha,3578.67
piñón,66373.82
lenteja,11418.46
semilla de frijol,29000.0
chives,9561.0
algarrobo,8500.0
semilla de triticale grano,13050.0
garbanzo porquero,1855.0
chilacayote,5253.54
margarita,10000.0
mano de león,10200.0
manzanilla,9800.0
alcachofa,12171.76
zapote,6342.3
eucalipto,50000.0
flor cera,17500.0
malanga,6244.24
nabo,3380.64
menta,20000.0
ebo (janamargo o veza) grano,720.0
statice,4553.09
poro (leek),6849.5
nube,7785.81
girasol,6270.0
espinaca,3738.69
pitaya,16400.0
alhelí,7610.72
hule hevea,9452.1
higo,13652.0
hortalizas,5536.41
semilla de sorgo grano,12200.0
rambután,12836.78
cártamo,8410.34
marañón,4607.7
frijol x pelón,8000.0
arvejón,10200.0
orégano,19250.0
maguey forrajero,600.0
semilla de caña de azúcar,828.96
betabel,6758.66
achiote,28326.67
col de bruselas,12500.0
amaranto,14661.19
semilla de papa,28326.37
nopal forrajero,600.0
copra,2.55
acelga,4750.0
albahaca,6850.0
perón,9057.1
guaje,7292.65
pitahaya,14694.93
romero,25894.84
hoja de plátano (belillo),1709.03
trébol,268.67
salvia,23055.0
ave del paraíso,347.92
caña de azúcar,965.73
henequén,15400.0
zempoalxochitl,3870.0
tabaco,41759.58
tamarindo,12840.0
soya,10800.0
stevia,12283.1
semilla de jícama,290000.0
piña,6842.0
nanche,18972.79
papaya,7482.83
melón amargo,12200.0
haba grano,10800.0
vainilla,54600.0
palma africana o de aceite,2233.83
jaca (jackfruit),9946.5
jamaica,99000.0
guamúchil,15666.67
guanábana,9510.03
ebo (janamargo o veza),756.25
aceituna,6000.0
cacao,33137.19
nopalitos,4852.72
coco fruta,6314.54
berenjena,11000.0
arrayán,14689.32
chía,35961.43
ajonjolí,33200.0
zarzamora,22744.39
chayote,4544.31
mango,5825.33
caña de azúcar otro uso,490.0
tarragón,20209.21
papa,9310.0
lima,3041.92
tuna,6776.66
sorgo escobero,7000.0
algodón hueso,12200.0
ejote,3900.0
semilla de cebada grano,7500.0
mamey,6230.0
café cereza,8391.89
rábano,2300.0
pimienta,13839.42
arroz palay,5300.0
semilla de maíz grano,10800.0
zanahoria,5001.91
napa,4500.0
epazote,1981.03
jícama,7235.0
macadamia,25100.0
granada,10981.99
guayaba,7359.69
aguacate,24265.55
col (repollo),1619.0
lechuga,6792.5
uva,20200.89
calabaza semilla o chihua,38211.29
triticale grano,5010.0
triticale forrajero en verde,790.0
ajo,23665.77
limón,11345.19
litchi,14113.65
frambuesa,52112.4
elote,3012.17
maracuyá,10074.53
comino,40500.0
mandarina,2280.5
trigo forrajero verde,670.0
nuez,64000.45
cilantro,4500.0
coliflor,5711.11
chícharo,15170.0
espárrago,33800.0
cacahuate,24000.0
tangerina,3201.89
garbanzo forrajero,700.0
plátano,2684.69
cebada grano,2.4
