municipio,suelo_arcilloso,suelo_arenoso,suelo_fertil,suelo_limitado
AGUASCALIENTES,75.90582114013833,0.0,0.0,24.094178859861668
JESÚS MARÍA,73.20970903537962,0.0,0.0,26.79029096462038
EL LLANO,81.04161403903582,0.0,0.0,18.958385960964186
SAN FRANCISCO DE LOS ROMO,0.0,0.0,0.0,100.0
CALVILLO,95.99876547297937,0.0,4.001234527020633,0.0
COSÍO,0.0,0.0,0.0,100.0
PABELLÓN DE ARTEAGA,12.194483450897735,0.0,0.0,87.80551654910226
RINCÓN DE ROMOS,23.207465784759176,0.0,0.0,76.79253421524082
SAN JOSÉ DE GRACIA,99.87500321699461,0.0,0.0,0.12499678300538342
TEPEZALÁ,0.0,0.0,0.0,100.0
ASIENTOS,3.9048293523195445,0.0,0.0,96.09517064768045
TIJUANA,0.0,100.0,0.0,0.0
PLAYAS DE ROSARITO,0.0,100.0,0.0,0.0
TECATE,0.0,100.0,0.0,0.0
ENSENADA,0.0,87.3588038120127,0.0,12.641196187987314
MEXICALI,0.0,43.79007067816713,0.0,56.20992932183286
MULEGÉ,5.8009990995366065,61.14544324295854,0.0,33.053557657504854
COMONDÚ,39.46381654191215,23.404157074860407,0.0,37.132026383227455
LORETO,16.559144872152768,83.44085512784724,0.0,0.0
LA PAZ,5.022378743084372,65.15326807633359,0.0,29.82435318058205
LOS CABOS,0.0,100.0,0.0,0.0
CALKINÍ,0.0,58.750702571539094,0.0,41.249297428460906
TENABO,0.0,85.307125283347,0.0,14.692874716652982
HECELCHAKÁN,0.0,91.17954363870389,0.0,8.820456361296102
CAMPECHE,0.0,100.00000000000001,0.0,0.0
HOPELCHÉN,0.0,100.0,0.0,0.0
CALAKMUL,1.3149653667378234,98.68503463326218,0.0,0.0
CHAMPOTÓN,57.32243334773344,42.67756665226656,0.0,0.0
ESCÁRCEGA,60.50086236374543,39.499137636254574,0.0,0.0
CARMEN,100.0,0.0,0.0,0.0
CANDELARIA,37.23448004928938,62.765519950710605,0.0,0.0
PALIZADA,100.0,0.0,0.0,0.0
ACUÑA,0.0,87.28920513777156,0.0,12.710794862228433
JIMÉNEZ,0.0,35.32418047577703,0.0,64.67581952422296
ALLENDE,0.0,6.060005592847247,0.0,86.84372571675377
MORELOS,0.0,67.26584482646585,0.0,26.11788304036129
VILLA UNIÓN,0.0,0.0,0.0,86.97142866140368
ZARAGOZA,0.0,85.48919828572079,0.0,13.998760776896665
GUERRERO,0.0,4.724779023785966,0.0,62.313367764808405
HIDALGO,0.0,0.0,0.0,100.0
NAVA,0.0,33.9344545859932,0.0,0.0
PIEDRAS NEGRAS,0.0,90.30153325197878,0.0,9.698466748021215
SABINAS,37.65746422997064,12.566568882524336,0.0,49.77596688750502
SAN JUAN DE SABINAS,42.62338672767297,43.90241241424667,0.0,13.474200858080343
MÚZQUIZ,10.83956071045411,88.01426481310263,0.0,1.146174476443254
JUÁREZ,15.284372476010294,0.0,0.0,84.71562752398971
PROGRESO,27.412660472901024,16.844067049139174,0.0,55.74327247795979
CANDELA,0.0,80.85402570507216,0.0,19.14597429492784
CASTAÑOS,0.0,53.15134625797223,0.0,46.848653742027786
FRONTERA,0.0,50.72839292997542,0.0,49.27160707002458
MONCLOVA,0.0,55.2459065964374,0.0,44.7540934035626
ABASOLO,0.0,26.56628505006457,0.0,73.43371494993544
ESCOBEDO,0.0,49.07665945501608,0.0,50.92334054498392
NADADORES,0.0,45.55644391221896,0.0,54.44355608778104
SAN BUENAVENTURA,0.0,22.958119726168565,0.0,77.04188027383142
CUATRO CIÉNEGAS,0.0,52.236945651741465,0.0,47.763054348258535
LAMADRID,0.0,100.0,0.0,0.0
SACRAMENTO,0.0,98.34299731892142,0.0,1.6570026810785767
OCAMPO,0.0,43.25282300470006,0.0,56.74717699529993
SIERRA MOJADA,0.0,47.03189674506494,0.0,52.96810325493505
ARTEAGA,0.0,92.3589473857333,0.0,7.641052614266684
GENERAL CEPEDA,0.0,34.236513910983966,0.0,65.76348608901603
PARRAS,0.0,47.73921283870447,0.0,52.26078716129553
RAMOS ARIZPE,0.0,50.54523406473807,0.0,49.454765935261925
SALTILLO,0.0,21.737938737178304,0.0,78.26206126282169
SAN PEDRO,0.0,54.91589129721655,0.0,45.08410870278346
FRANCISCO I. MADERO,0.0,76.444569385572,0.0,23.555430614427998
MATAMOROS,0.0,5.045221331157192,0.0,94.95477866884279
TORREÓN,0.0,82.17791996014418,0.0,17.82208003985582
VIESCA,0.0,73.2318690858402,0.0,26.768130914159798
COLIMA,0.0,91.8515491761658,8.148450823834194,0.0
COQUIMATLÁN,0.0,59.766822390674164,40.233177609325836,0.0
VILLA DE ÁLVAREZ,0.0,77.78023255291129,22.219767447088714,0.0
COMALA,0.0,97.36410108372786,2.6358989162721556,0.0
CUAUHTÉMOC,0.0,100.0,0.0,0.0
MINATITLÁN,0.0,100.00000000000001,0.0,0.0
ARMERÍA,0.0,34.41794909353409,65.5820509064659,0.0
IXTLAHUACÁN,0.0,80.62137789286626,19.37862210713373,0.0
TECOMÁN,0.0,0.0,100.0,0.0
MANZANILLO,0.0,94.62192825891267,5.378071741087323,0.0
ACALA,0.0,96.43318997177693,3.5668100282230846,0.0
BERRIOZÁBAL,4.1606526125871115,95.83934738741289,0.0,0.0
CHIAPA DE CORZO,0.0,94.19286443693287,5.807135563067134,0.0
CHIAPILLA,0.0,100.0,0.0,0.0
CHICOASÉN,0.0,100.0,0.0,0.0
IXTAPA,0.0,51.075233711166504,48.92476628883351,0.0
OCOZOCOAUTLA DE ESPINOSA,0.719267631389681,96.8685464388575,0.9167421601101875,1.4954437696426286
OSUMACINTA,0.0,100.0,0.0,0.0
SAN FERNANDO,0.010815132472404069,99.9891848675276,0.0,0.0
SOYALÓ,0.0,100.0,0.0,0.0
SUCHIAPA,0.0,100.0,0.0,0.0
TOTOLAPA,0.0,99.31517978874325,0.684820211256755,0.0
TUXTLA GUTIÉRREZ,0.0,100.0,0.0,0.0
SAN LUCAS,0.0,70.75711115236086,29.242888847639136,0.0
COAPILLA,68.22909194243023,31.77090805756977,0.0,0.0
COPAINALÁ,80.6174479044177,19.382552095582298,0.0,0.0
OCOTEPEC,100.0,0.0,0.0,0.0
TECPATÁN,91.64335405050262,2.067730125777522,6.288915823719851,0.0
CINTALAPA,0.0,89.8629829431289,0.0,10.137017056871098
JIQUIPILAS,0.0,100.0,0.0,0.0
NICOLÁS RUÍZ,0.0,100.0,0.0,0.0
VENUSTIANO CARRANZA,0.0,87.88830063492614,12.111699365073862,0.0
