nomcultivo,tipo_cultivo
AVENA FORRAJERA EN VERDE,grano
CEBADA FORRAJERA EN VERDE,grano
TRITICALE FORRAJERO EN VERDE,forraje
PASTOS Y PRADERAS,forraje
BRÓCOLI,otro
CHILE VERDE,hortaliza
FRESA,fruta
MAÍZ FORRAJERO EN VERDE,grano
MAÍZ GRANO,grano
SORGO FORRAJERO EN VERDE,grano
TOMATE ROJO (JITOMATE),hortaliza
TOMATE VERDE,hortaliza
ZANAHORIA,hortaliza
FRIJOL,leguminosa
ALFALFA VERDE,forraje
DURAZNO,fruta
GRANADA,fruta
MEMBRILLO,otro
NOPALITOS,otro
NUEZ,fruta
UVA,fruta
NOPAL FORRAJERO,forraje
TUNA,otro
ACELGA,hortaliza
BETABEL,hortaliza
CEBOLLA,hortaliza
CILANTRO,especia
COL (REPOLLO),otro
COLIFLOR,ornamental
RÁBANO,hortaliza
LECHUGA,hortaliza
ESPINACA,fruta
CHÍCHARO,otro
EJOTE,otro
ELOTE,otro
CALABACITA,otro
CACAHUATE,otro
PEPINO,otro
AGUACATE,otro
GUAYABA,fruta
HIGO,fruta
LIMA,fruta
LIMÓN,fruta
MANZANA,fruta
NARANJA,fruta
PITAHAYA,fruta
AJO,otro
ACEITUNA,otro
ESPÁRRAGO,hortaliza
CAMOTE,hortaliza
CHILE SECO,hortaliza
VERDOLAGA,otro
TRIGO GRANO,grano
ALFALFA ACHICALADA,forraje
CHABACANO,leguminosa
PERA,fruta
ALBAHACA,otro
APIO,hortaliza
COL DE BRUSELAS,otro
HABA VERDE,leguminosa
NAPA,otro
AVENA GRANO,grano
CEBADA GRANO,grano
ALCACHOFA,otro
CALABAZA,hortaliza
ESPECIAS Y MEDICINALES,otro
MELÓN,fruta
ROMERO,otro
SANDÍA,fruta
ALGARROBO,otro
ARÁNDANO,fruta
FRAMBUESA,otro
MANDARINA,fruta
PISTACHE,otro
TORONJA (POMELO),fruta
ZARZAMORA,fruta
NABO,hortaliza
SEMILLA DE TRIGO GRANO,grano
ALGODÓN HUESO,industrial
SORGO GRANO,grano
DÁTIL,fruta
SEMILLA DE CILANTRO,especia
PEREJIL,especia
AJONJOLÍ,otro
TANGELO,otro
CÁRTAMO,otro
KALE,otro
PORO (LEEK),otro
HIGUERILLA,otro
MANGO,fruta
GARBANZO GRANO,leguminosa
GIRASOL,otro
PAPA,hortaliza
JÍCAMA,hortaliza
PALMA TACO,industrial
PITAYA,fruta
CHAY,otro
CHIVES,otro
MEJORANA,especia
MENTA,especia
ORÉGANO,especia
SALVIA,especia
TARRAGÓN,especia
TOMILLO,otro
BERENJENA,hortaliza
PALO DE ARCO,otro
AGAVE,industrial
CIRUELA,fruta
COCO FRUTA,fruta
PALMA DE ORNATO,industrial
PAPAYA,hortaliza
ENELDO,otro
LITCHI,otro
CALABAZA SEMILLA O CHIHUA,hortaliza
NANCHE,otro
ZAPOTE,fruta
FRIJOL X PELÓN,leguminosa
SOYA,leguminosa
MARAÑÓN,otro
PIÑA,fruta
ARROZ PALAY,grano
CAÑA DE AZÚCAR,otro
COPRA,otro
MAMEY,otro
PALMA AFRICANA O DE ACEITE,industrial
PLÁTANO,fruta
SÁBILA,otro
TAMARINDO,otro
STEVIA,otro
